	Title	Href	Leadtext	Tag	Datetime
0	Υπόθεση Πάτρας: Διατάχθηκε πειθαρχικός έλεγχος σε βάρος των πρώτων ιατροδικαστών	https://www.news247.gr/koinonia/ypothesi-patras-diatachthike-peitharchikos-elegchos-se-varos-ton-iatrodikaston.9686390.html	Τη διενέργεια πειθαρχικού ελέγχου των ιατροδικαστών που διερεύνησαν τα αίτια θανάτου των παιδιών στην Πάτρα, για πιθανή τέλεση παραπτωμάτων, παρήγγειλε ο υπουργός Δικαιοσύνης, Κώστας Τσιάρας.	ΠΑΤΡΑ	04 Ιουλίου 2022 16:45
1	"Υπόθεση Πάτρας - Τσιάρας: ""Ξεκινά άμεσα πειθαρχικός έλεγχος των ιατροδικαστών"""	https://www.news247.gr/koinonia/eglima/ypothesi-patras-tsiaras-xekina-amesa-peitharchikos-elegchos-ton-iatrodikaston.9684556.html	Τη διενέργεια πειθαρχικού ελέγχου των ιατροδικαστών που συνέταξαν τις πρώτες εκθέσεις για τον θάνατο της Μαλένας και της Ίριδας στην Πάτρα, προανήγγειλε ο υπουργός Δικαιοσύνης.	ΘΑΝΑΤΟΣ ΤΡΙΩΝ ΚΟΡΙΤΣΙΩΝ	02 Ιουλίου 2022 20:22
2	Ρούλα Πισπιρίγκου: Αστυνομικοί στο κελί της για την επίδοση της κλήσης σε ανωμοτί κατάθεση	https://www.news247.gr/koinonia/eglima/royla-pispirigkoy-simera-i-epidosi-tis-klisis-se-anomoti-katathesi.9681943.html	Η ύποπτη για τις δολοφονίες της Μαλένας και της Ίριδας, θα ζητήσει να δοθεί εγγράφως η κατάθεσή μέσω του δικηγόρου της εντός ενός χρονικού διαστήματος 5-10 ημερών	ΘΑΝΑΤΟΣ ΤΡΙΩΝ ΚΟΡΙΤΣΙΩΝ	30 Ιουνίου 2022 11:55
3	Ρούλα Πισπιρίγκου: Καλείται ως μόνη ύποπτη για την ανθρωποκτονία των Ίριδας και Μαλένας	https://www.news247.gr/koinonia/royla-pispirigkoy-kaleitai-os-moni-ypopti-gia-tin-anthropoktonia-ton-iridas-kai-malenas.9680844.html	Εξηγήσεις για τους θανάτους των δύο μικρότερων παιδιών της, Ίριδας και Μαλένας καλείται να δώσει η Ρούλα Πισπιρίγκου. Πλέον κρίνεται ως η μόνη ύποπτη για τις ανθρωποκτονίες των τριών κοριτσιών.	ΡΟΥΛΑ ΠΙΣΠΙΡΙΓΚΟΥ	29 Ιουνίου 2022 11:11
4	Δεν είμαι ο Ηρακλής Πουαρό, είμαι ο Θανάσης Κατερινόπουλος	https://www.news247.gr/sunday-edition/den-eimai-o-iraklis-poyaro-eimai-o-thanasis-katerinopoylos.9676213.html	"Ο άνθρωπος που αν δεν είχε γίνει αστυνομικός σήμερα θα ήταν ψυχολόγος, μιλά στο Magazine για τα χρόνια στην Αντιτρομοκρατική Υπηρεσία. Από την εξάρθρωση της ""17 Νοέμβρη"" και το φιάσκο με τον Σορίν Ματέι μέχρι την υπόθεση της Πάτρας και την... πολιτική."	ΣΥΝΕΝΤΕΥΞΗ	25 Ιουνίου 2022 08:49
5	Ρούλα Πισπιρίγκου: Όσα ρωτούσε στις συνομιλίες της με την Αγγελική Νικολούλη	https://www.news247.gr/koinonia/royla-pispirigkoy-osa-rotoyse-stis-synomilies-tis-me-tin-aggeliki-nikoloyli.9677231.html	"Ο τραγικός επίλογος των ερευνών της τριπλής παιδοκτονίας στην Πάτρα σύμφωνα με τους επιστήμονες, που σόκαρε το πανελλήνιο, γράφτηκε το βράδυ της Παρασκευής 24 Ιουνίου στο ""Τούνελ""."	ΘΑΝΑΤΟΣ ΤΡΙΩΝ ΚΟΡΙΤΣΙΩΝ	25 Ιουνίου 2022 07:57
6	Πάτρα: Έρχονται κλήσεις υπόπτων για κατάθεση - Στην Εισαγγελία τα νέα στοιχεία για Ίριδα και Μαλένα	https://www.news247.gr/koinonia/patra-erchontai-kliseis-ypopton-gia-katathesi-stin-eisaggelia-ta-nea-stoicheia-gia-irida-kai-malena.9675560.html	Οι εισαγγελικοί λειτουργοί δεν αποκλείεται μέχρι την επόμενη εβδομάδα να καλέσουν πρόσωπα για καταθέσεις σχετικά με αξιόποινες πράξεις. Κλήση για ανωμοτί κατάθεση και στη Πισπιρίγκου για τα άλλα δύο παιδιά.	ΠΑΤΡΑ	23 Ιουνίου 2022 17:01
7	Φως στο Τούνελ: Ο τραγικός επίλογος στο θρίλερ της Πάτρας - Δείτε το trailer	https://www.news247.gr/psixagogia/tileorasi/fos-sto-toynel-o-tragikos-epilogos-sto-thriler-tis-patras-deite-to-trailer.9674706.html	"Συγκλονιστικό αναμένεται το τελευταίο επεισόδιο της εκπομπής ""Φως στο Τούνελ"" για την υπόθεση της Πάτρας. Δείτε το trailer της Παρασκευής (24/06)."	ΠΑΤΡΑ	22 Ιουνίου 2022 21:04
8	"Δικηγόρος Ρούλας Πισπιρίγκου: ""Καμία επικοινωνία με Μάνο Δασκαλάκη"" - Τι είπε για την κατάθεση της αδερφής της"	https://www.news247.gr/koinonia/dikigoros-roylas-pispirigkoy-kamia-epikoinonia-me-mano-daskalaki-ti-eipe-gia-tin-katathesi-tis-aderfis-tis.9673762.html	"""Δεν έχουμε το πόρισμα"" δήλωσε ο Όθωνας Παπαδόπουλος, ο οποίος αποκάλυψε πως ""υπήρξε μηνυτήρια αναφορά στον εισαγγελέα"" μετά τον θάνατο της Μαλένας από τη Ρούλα Πισπιρίγκου."	ΠΑΤΡΑ	22 Ιουνίου 2022 08:18
9	Υπόθεση Πάτρας: Για δέκα ώρες κατέθετε η Δήμητρα Πισπιρίγκου - Τι ρωτήθηκε	https://www.news247.gr/koinonia/ypothesi-patras-gia-deka-ores-katethete-i-dimitra-pispirigkoy-ti-rotithike.9673671.html	Η πλέον μαραθώνια κατάθεση ήταν αυτή της αδερφής της Ρούλας Πισπιρίγκου, η οποία ρωτήθηκε πολλές φορές για την επίμαχη ημέρα του θανάτου της μικρής Ίριδας. Πολλές οι ερωτήσεις και για τις σχέσεις των μελών της οικογένειας μεταξύ τους.	ΠΑΤΡΑ	21 Ιουνίου 2022 23:07
